road	N517
km	0.759
type	Box Culvert
lrpName	LRPSd
name	.
length	3.6
condition	A
structureNr	109880
est cost	0
roadName	Rangpur Town Old Section (Modern More-Medical More)
chainage	0.759
width	12.2
constructionYear	1999
spans	1
zone	Rangpur
circle	Rangpur
division	Rangpur
sub-division	Rangpur-1
lat	25.714166666666667
lon	89.26138888888889
estimated Location	bcs1
bcs1-file	http://www.rhd.gov.bd/BridgeDatabase/BCS1.asp?vStructureID=109880&vRoadID=44&vSurveyYear=2004&vSubdivID=287
bcs2-file	http://www.rhd.gov.bd/BridgeDatabase/BCS2.asp?vStructureID=109880&vRoadID=44&vSurveyYear=2004&vSubdivID=287
bcs3-file	http://www.rhd.gov.bd/BridgeDatabase/BCS3.asp?vStructureID=109880&vRoadID=44&vSurveyYear=2004&vSubdivID=287
